127.0.0.1 - - [14/Jan/2022:09:40:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:40:43 +0900] "GET /test/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:40:43 +0900] "GET /test/login.do HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:40:43 +0900] "GET /test/style.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:40:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:40:49 +0900] "POST /test/loginAf.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:40:50 +0900] "GET /test/bbslist.do HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:40:50 +0900] "GET /test/style.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:41:09 +0900] "GET /test/bbslist.do HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:41:09 +0900] "GET /test/style.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:41:10 +0900] "GET /test/bbslist.do HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:41:10 +0900] "GET /test/style.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:41:20 +0900] "GET /test/bbslist.do HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:41:20 +0900] "GET /test/style.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:41:21 +0900] "GET /test/bbslist.do HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:41:21 +0900] "GET /test/style.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:41:21 +0900] "GET /test/bbslist.do HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:41:21 +0900] "GET /test/style.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:00 +0900] "GET /test/bbslist.do HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:00 +0900] "GET /test/style.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:00 +0900] "GET /test/bbslist.do HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:00 +0900] "GET /test/style.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:00 +0900] "GET /test/bbslist.do HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:00 +0900] "GET /test/style.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:03 +0900] "GET /test/bbslist.do HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:03 +0900] "GET /test/style.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:03 +0900] "GET /test/bbslist.do HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:03 +0900] "GET /test/style.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:04 +0900] "GET /test/bbslist.do HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:04 +0900] "GET /test/style.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:04 +0900] "GET /test/bbslist.do HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:04 +0900] "GET /test/style.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:04 +0900] "GET /test/bbslist.do HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:04 +0900] "GET /test/style.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:06 +0900] "GET /test/bbslist.do HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:06 +0900] "GET /test/style.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:06 +0900] "GET /test/bbslist.do HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:06 +0900] "GET /test/style.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:52:07 +0900] "GET /test/bbslist.do HTTP/1.1" 200 1428
